objective	102 121 238 1203 185 1129 9580 2951 4751 2617 168 14440 1904 190 2668 4418 205 103
background	102 111 9580 2951 4751 434 106 3220 23142 592 862 256 165 111 2182 4751 131 111 2517 579 973 662 205 103
background	102 238 2177 592 2033 198 111 9580 2951 4751 300 195 2595 1839 475 7132 506 111 7355 6349 2951 4751 205 103
method	102 147 4207 6443 8938 422 185 5359 130 1874 579 2951 17035 579 12767 1172 198 25371 106 9580 1549 2951 263 130 14933 3993 2951 205 103
result	102 185 3768 198 9580 2951 4751 2617 300 1357 21198 547 6349 12917 121 597 579 8176 2517 6768 205 103


background	102 111 6021 131 2205 3014 305 30123 5071 6580 8445 121 3910 1248 597 453 1975 145 3915 131 9942 870 993 546 422 6343 629 7455 422 11257 1242 121 2971 4652 2900 422 137 684 3523 121 2485 2505 5545 1671 131 2289 145 11314 546 422 1031 147 1073 286 30123 20539 2449 205 103
background	102 1661 1953 4498 131 6786 3410 422 2067 131 758 7602 11236 2040 422 2738 190 130 7538 5292 121 5071 453 145 11236 546 3880 137 6323 165 3440 7329 106 684 7590 191 3302 3431 2449 205 103
objective	102 305 30123 5071 1078 422 190 3007 453 1975 422 2900 422 7455 422 137 11314 220 2182 147 195 111 3103 24537 131 755 131 111 1073 3431 2449 2505 2010 205 103
method	102 121 238 3241 422 185 2113 130 18324 1579 131 5071 2696 2536 305 30123 2449 205 103
method	102 185 705 3978 111 758 14600 1334 1111 190 111 5203 1899 934 145 9013 546 899 422 1471 2385 7129 422 6786 10679 422 4744 137 7010 9013 205 103
method	102 5224 422 185 2113 130 121 579 3826 3241 131 3954 3045 1100 579 2530 2121 2474 4198 422 25362 758 2443 437 3261 422 14062 6011 899 422 24200 2617 422 137 10133 14543 4198 205 103
method	102 2205 422 111 3779 131 2175 2474 5320 137 22420 5651 2764 147 7132 1385 238 758 2121 2474 220 2991 205 103
method	102 185 469 4958 690 111 23669 2040 422 1574 188 111 1626 7290 3163 7723 305 30123 205 103
method	102 121 993 147 2008 111 3007 1824 2899 422 185 1584 11878 131 758 11314 422 735 3732 422 137 6205 1882 1111 190 111 305 30123 2696 205 103
method	102 168 13172 560 111 1175 934 1333 3337 137 4527 12667 422 185 2113 106 1843 1579 191 1333 7944 137 1729 2748 205 103


background	102 969 2151 2501 434 9632 4378 580 2934 131 3650 1836 3948 1262 422 1279 3577 434 528 906 147 2743 111 755 3026 3948 437 2825 121 111 4941 1590 205 103
objective	102 121 238 8829 422 238 1203 4400 106 6935 669 131 2781 12030 1026 20460 8472 121 130 806 7522 745 12030 21945 3859 334 267 1623 615 8472 121 1615 131 12922 137 1013 781 106 239 579 1978 527 205 103
result	102 111 545 2303 198 2159 19137 137 121 579 806 13543 1262 267 475 3026 422 969 15864 437 300 195 7132 501 188 106 8487 437 205 103
result	102 238 2315 7331 7673 690 4682 693 3650 2040 220 475 3026 506 2968 205 103


background	102 1300 3351 189 165 111 22675 5411 1748 934 2277 12733 205 103
objective	102 238 527 21138 25531 168 633 626 422 137 633 1654 147 11695 1407 137 13903 16621 4554 30119 205 103
objective	102 106 3241 131 25474 4936 2584 2861 198 111 936 4679 168 1300 3351 189 626 220 745 8569 1352 1767 1011 2968 422 3859 745 12457 422 3859 745 6240 1076 422 3859 137 745 19369 205 103
other	102 3859 103
result	102 111 2205 684 3621 241 106 1532 1654 467 1052 975 11836 597 121 16115 2019 137 487 1300 3351 189 168 6240 1076 422 7153 5699 422 137 8569 205 103
result	102 1783 3016 3621 1402 198 461 165 106 1532 1654 467 597 1049 131 1748 1071 145 19747 422 8075 147 15658 140 2473 422 20241 10487 422 3921 205 546 137 1558 10744 147 626 1300 3351 189 188 106 2033 131 12457 205 103
result	102 121 2470 147 13903 16621 4554 30119 422 461 241 106 1532 1654 467 487 1300 3351 189 147 195 6240 137 168 8569 205 103
result	102 3966 4954 131 238 527 10692 147 580 2934 131 3294 137 17967 27812 1983 205 103
result	102 238 527 22099 30113 758 25531 168 1748 3871 626 302 1887 121 1061 2501 205 103
other	102 2703 4505 7500 5519 205 103


background	102 1061 849 434 2275 198 111 2899 131 5589 139 579 12286 165 302 3552 147 5589 28959 30113 205 103
background	102 238 527 15817 1391 12657 7015 168 139 579 12286 188 804 188 1214 626 131 139 579 6594 2118 205 103
background	102 1363 111 709 4570 5055 165 111 755 8797 179 7110 19603 147 1661 4241 13184 422 2584 572 302 5142 139 579 12286 573 28959 30113 7161 131 547 4703 422 2556 626 234 12774 190 9593 205 103
background	102 425 684 5637 16158 467 111 649 131 139 579 12286 2049 501 137 2103 7015 131 139 579 12286 862 1914 975 883 2049 501 130 139 579 6594 2077 7361 12153 13265 168 1904 205 103
background	102 3533 111 2495 147 3717 1899 10964 2118 833 139 579 12286 2168 1884 21331 137 494 1882 422 2584 267 475 1987 147 626 2618 1882 121 12153 12286 506 121 139 579 12286 205 103
other	102 4398 7500 5519 205 103
other	102 355 4040 5201 205 103


background	102 3787 2753 434 3449 528 564 9825 1074 147 475 137 475 18034 2485 137 758 20221 1090 21076 205 103
objective	102 23987 30113 263 755 131 10864 3782 3787 640 7524 205 103
method	102 833 106 5158 2501 1579 422 185 797 198 3787 4036 165 475 506 3008 106 8797 4338 205 103
method	102 1425 147 238 527 422 407 9274 360 883 130 2141 191 111 3948 1262 422 111 7287 2125 137 111 864 579 2485 2899 205 103
method	102 3925 111 15229 131 238 6721 422 185 883 1337 106 849 18517 131 3787 4036 121 106 21065 5211 205 103


background	102 26107 7781 2449 145 2308 1290 546 220 1992 5285 147 188 111 239 5401 3014 131 3687 2449 205 103
background	102 2487 13514 263 2404 3743 121 111 2216 137 2151 8054 121 11641 30113 422 698 7004 547 3432 137 1291 263 130 4119 3532 131 8542 2697 467 3286 422 3841 690 2670 111 532 131 11826 11369 205 103
background	102 2308 1290 7505 111 3989 1221 131 3687 2449 1827 131 2757 234 23235 120 3660 205 103
method	102 791 191 2749 2607 579 6920 2307 422 698 1937 692 758 28195 168 3775 1262 190 130 7538 2900 131 16618 2146 137 106 1648 2495 147 3254 5846 205 103
objective	102 7121 422 111 936 4949 165 147 9819 3316 1904 3493 198 1799 2636 3944 131 111 1154 1882 131 2308 1290 969 9573 111 18502 1784 145 1196 579 3559 422 4578 579 147 579 626 422 1427 27760 422 3921 205 103
other	102 546 131 3783 5167 383 1262 205 103
background	102 238 5121 13385 111 2999 131 111 745 26107 7781 3859 121 1155 158 137 12749 111 755 3803 579 121 579 626 1262 131 3286 137 8542 11925 121 1155 170 205 103
result	102 111 3989 1221 131 2308 1290 165 5774 121 1155 239 137 111 1167 131 1904 121 2449 131 26107 3286 165 21608 30118 121 1155 286 422 190 8376 690 111 14717 3803 7293 168 6020 256 205 103
result	102 2285 422 1155 305 11981 1836 4371 422 2848 3293 137 11606 1323 2257 13772 205 103
background	102 158 7789 235 9529 223 28080 2193 25319 223 19792 279 3219 27571 25227 426 29357 4199 205 103


background	102 185 3401 633 30140 422 106 3130 168 5366 385 7070 3594 579 2616 115 1908 2737 168 23067 205 103
background	102 1031 147 494 2688 422 580 7070 2358 9908 30113 556 106 758 4413 3443 467 2683 137 6431 2066 205 103
method	102 238 551 165 6431 1350 4043 147 5066 1332 579 532 3884 147 11884 781 5149 969 7428 2149 5315 27589 205 103
method	102 6846 494 2190 422 580 551 165 469 2177 4043 147 6242 115 473 473 2737 3533 111 23377 7821 121 111 2647 205 103
result	102 487 633 30140 185 797 758 26029 13110 13532 2171 23067 121 106 4276 2798 2031 7526 188 804 188 121 106 1626 11871 131 139 579 22811 2031 205 103
other	102 111 633 30140 1908 1382 165 1427 235 151 105 6972 862 1352 1352 3036 205 8342 3911 30121 205 103
other	102 209 1352 633 30140 205 103


background	102 11179 121 1164 15625 360 1574 111 25623 30113 137 6091 131 1711 3444 131 5831 205 103
objective	102 238 1203 7929 1021 17277 12038 111 1654 467 1168 3955 776 1078 145 3938 129 546 137 111 5831 130 1161 9251 121 111 29072 4564 4788 30107 2048 145 2048 5831 546 137 1262 111 907 131 1052 3860 191 3938 129 2848 2108 205 103
method	102 3697 422 7998 422 8797 422 137 1824 1391 220 1574 137 7180 147 3730 106 610 131 856 318 17277 198 300 5224 195 3003 121 1711 7998 5877 205 103
method	102 18894 17277 220 8232 3849 198 7998 5831 422 10629 357 19665 422 7998 2928 422 7998 2343 422 2048 9714 422 2048 5427 422 2048 14351 422 1748 640 422 2949 147 8208 422 137 28502 147 5831 2496 130 1161 5459 112 615 131 5831 121 111 3938 129 2048 145 2048 5831 546 137 8717 111 2108 131 130 3938 129 2848 624 205 103
result	102 106 4319 131 111 3860 467 111 1519 7955 121 111 437 137 6869 168 2158 849 220 1966 205 103


background	102 8388 1787 5769 106 1248 1060 3346 121 7121 2505 112 7425 205 103
